"subject","trial_num","step2resp","step1resp","step2state","reward"
"EEGTDPRJ0104F391",1,1,1,2,0
"EEGTDPRJ0104F391",2,2,1,2,0
"EEGTDPRJ0104F391",3,NA,NA,NA,NA
"EEGTDPRJ0104F391",4,1,1,3,0
"EEGTDPRJ0104F391",5,2,1,2,1
"EEGTDPRJ0104F391",6,NA,NA,NA,NA
"EEGTDPRJ0104F391",7,2,2,2,1
"EEGTDPRJ0104F391",8,NA,2,3,NA
"EEGTDPRJ0104F391",9,1,2,3,0
"EEGTDPRJ0104F391",10,2,2,2,1
"EEGTDPRJ0104F391",11,2,2,2,0
"EEGTDPRJ0104F391",12,1,2,3,0
"EEGTDPRJ0104F391",13,2,2,3,1
"EEGTDPRJ0104F391",14,2,2,3,0
"EEGTDPRJ0104F391",15,2,2,2,0
"EEGTDPRJ0104F391",16,1,1,3,1
"EEGTDPRJ0104F391",17,NA,NA,NA,NA
"EEGTDPRJ0104F391",18,1,1,2,1
"EEGTDPRJ0104F391",19,1,1,2,1
"EEGTDPRJ0104F391",20,1,1,2,1
"EEGTDPRJ0104F391",21,1,1,2,1
"EEGTDPRJ0104F391",22,1,1,2,0
"EEGTDPRJ0104F391",23,1,1,2,0
"EEGTDPRJ0104F391",24,1,1,2,1
"EEGTDPRJ0104F391",25,2,1,3,0
"EEGTDPRJ0104F391",26,1,1,3,1
"EEGTDPRJ0104F391",27,1,1,3,0
"EEGTDPRJ0104F391",28,2,1,3,0
"EEGTDPRJ0104F391",29,1,1,2,0
"EEGTDPRJ0104F391",30,2,1,2,1
"EEGTDPRJ0104F391",31,1,1,3,1
"EEGTDPRJ0104F391",32,1,1,3,0
"EEGTDPRJ0104F391",33,1,2,3,1
"EEGTDPRJ0104F391",34,1,2,3,1
"EEGTDPRJ0104F391",35,1,2,3,0
"EEGTDPRJ0104F391",36,1,2,2,0
"EEGTDPRJ0104F391",37,2,2,2,0
"EEGTDPRJ0104F391",38,1,2,3,0
"EEGTDPRJ0104F391",39,2,2,3,1
"EEGTDPRJ0104F391",40,2,2,3,0
"EEGTDPRJ0104F391",41,1,2,3,0
"EEGTDPRJ0104F391",42,1,1,2,1
"EEGTDPRJ0104F391",43,2,1,2,1
"EEGTDPRJ0104F391",44,2,1,2,1
